"No.","Time","Source","Destination","Protocol","Length","Info"
"76","35.664954","192.168.0.2","37.115.148.29","TCP","66","23  >  45019 [ACK] Seq=36 Ack=29 Win=28960 Len=0 TSval=32163 TSecr=29179238"
"77","35.672710","37.115.148.29","192.168.0.2","TCP","66","45019  >  23 [ACK] Seq=29 Ack=36 Win=5840 Len=0 TSval=29179249 TSecr=32147"
"78","35.673131","192.168.0.2","37.115.148.29","TELNET","78","Telnet Data ..."
"79","35.798489","37.115.148.29","192.168.0.2","TCP","66","45019  >  23 [ACK] Seq=29 Ack=48 Win=5840 Len=0 TSval=29179280 TSecr=32163"
"80","35.798499","37.115.148.29","192.168.0.2","TELNET","75","Telnet Data ..."
"81","35.799109","192.168.0.2","37.115.148.29","TCP","66","23  >  45019 [ACK] Seq=48 Ack=38 Win=28960 Len=0 TSval=32176 TSecr=29179280"
"82","35.805470","192.168.0.2","84.196.158.177","TCP","66","[TCP Retransmission] 23  >  39556 [FIN, ACK] Seq=170 Ack=68 Win=28960 Len=0 TSval=32177 TSecr=9206764"
"83","35.821268","84.196.158.177","192.168.0.2","TCP","66","39556  >  23 [FIN, ACK] Seq=68 Ack=171 Win=5840 Len=0 TSval=9206848 TSecr=32135"
"84","35.821917","192.168.0.2","84.196.158.177","TCP","66","23  >  39556 [ACK] Seq=171 Ack=69 Win=28960 Len=0 TSval=32178 TSecr=9206848"
"85","35.923146","84.196.158.177","192.168.0.2","TCP","78","[TCP Dup ACK 83#1] 39556  >  23 [ACK] Seq=69 Ack=171 Win=5840 Len=0 TSval=9206873 TSecr=32177 SLE=170 SRE=171"
"86","35.924248","37.115.148.29","192.168.0.2","TELNET","68","Telnet Data ..."
"87","35.924473","192.168.0.2","37.115.148.29","TCP","66","23  >  45019 [ACK] Seq=48 Ack=40 Win=28960 Len=0 TSval=32188 TSecr=29179311"
"88","35.925948","192.168.0.2","37.115.148.29","TELNET","68","Telnet Data ..."
"89","36.088751","37.115.148.29","192.168.0.2","TCP","66","45019  >  23 [ACK] Seq=40 Ack=50 Win=5840 Len=0 TSval=29179353 TSecr=32189"
"90","38.500020","84.196.158.177","192.168.0.2","TCP","74","39582  >  23 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=9207517 TSecr=0 WS=2"
"91","38.501238","192.168.0.2","84.196.158.177","TCP","74","23  >  39582 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM TSval=32446 TSecr=9207517 WS=16"
"92","38.600047","84.196.158.177","192.168.0.2","TCP","66","39582  >  23 [ACK] Seq=1 Ack=1 Win=5840 Len=0 TSval=9207541 TSecr=32446"
"93","38.602378","192.168.0.2","84.196.158.177","TELNET","78","Telnet Data ..."
"94","38.701270","84.196.158.177","192.168.0.2","TCP","66","39582  >  23 [ACK] Seq=1 Ack=13 Win=5840 Len=0 TSval=9207566 TSecr=32456"
"95","38.701880","192.168.0.2","84.196.158.177","TELNET","84","Telnet Data ..."
"96","38.705276","84.196.158.177","192.168.0.2","TELNET","69","Telnet Data ..."
"97","38.705718","192.168.0.2","84.196.158.177","TCP","66","23  >  39582 [ACK] Seq=31 Ack=4 Win=28960 Len=0 TSval=32467 TSecr=9207566"
"98","38.801154","84.196.158.177","192.168.0.2","TELNET","90","Telnet Data ..."
